City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,kodiak,57.79,-152.4072,47.71,66,75,9.22,US,1684376006
124,laem sing,12.4816,102.0738,90.97,100,100,8.48,TH,1684376006
125,mogadishu,2.0371,45.3438,80.56,82,7,12.37,SO,1684376007
126,as sulayyil,20.4607,45.5779,90.93,20,100,7.09,SA,1684376007
127,coahuayana de hidalgo,18.7,-103.6583,78.35,73,0,3.49,MX,1684376007
128,remire-montjoly,4.9167,-52.2667,75.24,100,75,0.0,GF,1684376007
129,east ballina,-28.8667,153.5833,67.8,59,12,10.67,AU,1684376007
130,greymouth,-42.4667,171.2,53.17,92,100,7.0,NZ,1684375812
131,namibe,-15.1961,12.1522,67.84,65,9,10.54,AO,1684376008
132,isangel,-19.55,169.2667,82.9,72,82,7.72,VU,1684376008
133,tolanaro,-25.0319,46.9987,65.75,87,3,3.11,MG,1684376008
134,puerto natales,-51.7236,-72.4875,36.81,98,100,2.59,CL,1684376008
135,arraial do cabo,-22.9661,-42.0278,70.68,70,80,14.79,BR,1684376008
136,clarksville,36.5298,-87.3595,70.54,77,0,6.06,US,1684375521
137,kidal,18.4411,1.4078,88.65,12,94,8.84,ML,1684376009
138,hawaiian paradise park,19.5933,-154.9731,73.72,87,100,3.44,US,1684376009
139,hovd,48.0056,91.6419,32.81,82,100,11.86,MN,1684376009
140,ebon,4.582,168.6964,83.08,78,99,12.21,MH,1684376009
141,taoudenni,22.6783,-3.9836,89.74,20,35,9.08,ML,1684376009
142,tan-tan,28.438,-11.1032,62.42,83,9,14.65,MA,1684376010
143,quellon,-43.1167,-73.6167,48.45,81,100,6.91,CL,1684376010
144,lesnoy,57.6198,63.0784,49.91,46,0,6.22,RU,1684376010
145,uturoa,-16.7333,-151.4333,82.09,76,9,9.89,PF,1684376010
146,ubari,26.5921,12.7805,73.63,12,31,9.24,LY,1684376010
147,jilib,0.4883,42.7854,74.1,94,95,3.62,SO,1684376010
148,phan rang-thap cham,11.5667,108.9833,91.62,53,46,4.36,VN,1684376011
149,saint-joseph,-21.3667,55.6167,74.46,81,3,3.18,RE,1684375982
150,margaret river,-33.95,115.0667,66.29,49,9,10.51,AU,1684376011
151,tura,25.5198,90.2201,77.95,66,0,5.1,IN,1684376011
152,geraldton,-28.7667,114.6,77.41,23,75,25.32,AU,1684376011
153,brookings,44.3114,-96.7984,69.06,38,0,9.22,US,1684376012
154,petauke,-14.2426,31.3253,59.02,69,13,4.38,ZM,1684376012
155,kargasok,59.0556,80.8572,40.41,55,13,7.29,RU,1684376012
156,sinop,41.7711,34.8709,53.11,69,15,4.09,TR,1684376012
157,kerikeri,-35.2268,173.9474,63.91,83,100,5.99,NZ,1684376012
158,gua musang,4.8823,101.9644,81.25,85,100,0.81,MY,1684376013
159,lihue,21.9789,-159.3672,79.84,72,75,13.8,US,1684376013
160,santa terezinha,-29.9002,-50.0904,64.0,84,4,16.42,BR,1684376013
161,carnarvon,-24.8667,113.6333,74.86,43,0,4.23,AU,1684376013
162,kapa'a,22.0752,-159.319,80.58,73,75,13.8,US,1684376013
163,merizo village,13.2658,144.6691,89.58,80,93,16.13,GU,1684376013
164,hamilton,39.1834,-84.5333,58.98,52,0,6.91,US,1684375997
165,tambopata,-12.7333,-69.1833,75.13,76,55,2.26,PE,1684376014
166,babana,10.4295,3.815,75.25,86,100,11.41,NG,1684376014
167,port alfred,-33.5906,26.891,57.18,96,100,7.56,ZA,1684376014
168,sos'va,59.1766,61.8558,50.67,52,100,4.94,RU,1684376014
169,onguday,50.75,86.15,36.9,69,100,2.15,RU,1684376015
170,san pedro,14.35,121.0167,88.36,78,94,4.68,PH,1684376015
171,dolores,-36.3132,-57.6792,59.76,80,100,8.61,AR,1684376015
172,nar'yan-mar,67.6713,53.087,54.5,72,100,10.94,RU,1684376015
173,puerto deseado,-47.7503,-65.8938,48.25,43,0,23.62,AR,1684375887
174,kapuskasing,49.4169,-82.4331,37.98,51,100,2.39,CA,1684376015
175,bei'an,24.5399,109.533,82.98,77,18,3.91,CN,1684376015
176,freetown,8.484,-13.2299,79.05,85,99,8.63,SL,1684376016
177,starkville,33.4504,-88.8184,73.27,88,75,4.61,US,1684375458
178,haiku-pauwela,20.9219,-156.3051,78.82,65,40,16.11,US,1684376016
179,cobija,-11.0267,-68.7692,76.89,80,73,3.44,BO,1684376016
180,langepas,61.2544,75.2124,39.38,60,12,2.28,RU,1684376016
181,port lincoln,-34.7333,135.8667,58.71,52,100,6.06,AU,1684376017
182,dubnica nad vahom,48.9598,18.1663,49.71,84,100,1.01,SK,1684376017
183,howrah,22.5892,88.3103,77.0,88,40,11.5,IN,1684376017
184,baiti,13.745,-14.7482,84.27,33,52,7.81,SN,1684376017
185,crane,31.3974,-102.3501,77.2,46,19,14.09,US,1684376017
186,yaren,-0.5472,166.916,83.77,75,95,5.79,NR,1684376018
187,touros,-5.1989,-35.4608,77.18,90,86,7.56,BR,1684376018
188,ar ruways,24.1103,52.7306,85.19,46,49,10.92,AE,1684376018
189,arvayheer,46.2639,102.775,54.32,17,4,3.51,MN,1684376018
190,kyshtovka,56.555,76.6271,41.61,49,0,4.63,RU,1684376018
191,travnik,44.2267,17.6706,46.63,97,100,3.58,BA,1684376018
192,pamanukan,-6.2842,107.8106,83.84,64,50,2.55,ID,1684376019
193,st. john's,47.5649,-52.7093,54.68,93,100,18.41,CA,1684375894
194,kruisfontein,-34.0033,24.7314,54.88,85,100,5.06,ZA,1684376019
195,al kharj,24.155,47.3346,85.57,28,26,4.12,SA,1684376019
196,tazovsky,67.4667,78.7,34.09,91,100,11.52,RU,1684376020
197,xinpu,34.5997,119.1594,65.66,85,100,12.1,CN,1684376020
198,chui,-33.6971,-53.4616,59.86,94,3,9.95,UY,1684376020
199,punta arenas,-53.15,-70.9167,39.31,81,75,18.41,CL,1684376020
200,staryya darohi,53.0402,28.267,55.22,81,98,1.32,BY,1684376020
201,papao,-17.75,-149.55,85.68,75,41,4.0,PF,1684376021
202,tidjikja,18.5564,-11.4271,87.37,21,20,9.82,MR,1684376021
203,constantia,44.1833,28.65,55.71,85,100,11.05,RO,1684375802
204,akdepe,42.0551,59.3788,56.34,83,100,6.38,TM,1684376021
205,richards bay,-28.783,32.0377,63.21,85,100,5.82,ZA,1684376021
206,hammerfest,70.6634,23.6821,36.05,87,100,4.61,NO,1684376022
207,colonia,50.9333,6.95,45.97,78,0,2.3,DE,1684376002
208,klyuchi,52.2667,79.1667,45.77,41,28,15.41,RU,1684376022
209,dali,25.7,100.1833,67.73,61,23,4.79,CN,1684376022
210,new norfolk,-42.7826,147.0587,53.92,64,98,1.01,AU,1684376022
211,khorixas,-20.3667,14.9667,54.66,71,4,0.27,NA,1684376022
212,webster city,42.4694,-93.816,70.09,48,0,12.66,US,1684376022
213,mukalla,14.5425,49.1242,82.38,78,46,5.35,YE,1684376023
214,raduzhny,62.0961,77.475,37.74,62,25,4.5,RU,1684376023
215,kos,36.8933,27.2889,63.0,84,7,5.82,GR,1684376023
216,conde,-7.2597,-34.9075,74.66,100,75,9.22,BR,1684376023
217,bhimunipatnam,17.8833,83.4333,85.51,76,69,14.34,IN,1684376023
218,sacramento,38.4666,-121.3177,89.98,37,0,12.66,US,1684375781
219,guozhen,34.3659,107.359,79.21,38,55,2.91,CN,1684376024
220,sao felix do xingu,-6.6447,-51.995,73.96,94,99,1.59,BR,1684376024
221,davutlar,37.733,27.2944,62.42,91,1,3.51,TR,1684376024
222,san isidro,-12.1167,-77.05,72.99,81,100,13.8,PE,1684376024
223,kharp,66.8014,65.8081,42.82,81,79,2.82,RU,1684376025
224,tazacorte,28.629,-17.9293,67.17,82,0,19.57,ES,1684376025
225,san clemente del tuyu,-36.3569,-56.7235,63.99,75,100,13.98,AR,1684376025
226,bahua,25.85,80.6333,92.71,21,88,5.32,IN,1684376025
227,saldanha,-33.0117,17.9442,57.9,70,62,19.62,ZA,1684376025
228,afaahiti,-17.75,-149.2833,84.07,80,28,7.83,PF,1684376026
229,nouadhibou,20.931,-17.0347,64.8,83,0,23.24,MR,1684376026
230,son la,21.3167,103.9,85.3,49,2,3.38,VN,1684376026
231,sur,22.5667,59.5289,88.0,55,0,10.45,OM,1684376026
232,matoury,4.8483,-52.3317,75.16,100,75,0.0,GF,1684376026
233,kailua-kona,19.6406,-155.9956,82.36,78,40,13.8,US,1684376026
234,kerbakhiar,40.1067,46.0383,47.25,91,74,4.21,AZ,1684375877
235,taunggyi,20.7833,97.0333,73.99,58,11,3.09,MM,1684376027
236,tarawa,1.419,172.984,87.89,70,40,8.05,KI,1684376027
237,mugia,43.1041,-9.2179,58.15,67,3,24.34,ES,1684376027
238,karratha,-20.7377,116.8463,79.56,30,0,21.97,AU,1684376027
239,maych'ew,12.7875,39.5422,59.32,74,11,2.98,ET,1684376027
240,kerch,45.3583,36.4758,59.09,78,0,21.16,UA,1684376028
241,san antonio de pale,-1.4014,5.6325,81.64,81,100,14.5,GQ,1684376028
242,saudarkrokur,65.7461,-19.6394,45.64,79,98,3.13,IS,1684376028
243,nikolayevsk-on-amure,53.1406,140.73,58.78,60,71,5.99,RU,1684376028
244,aktau,43.65,51.2,59.58,82,100,13.58,KZ,1684376028
245,swan hill,-35.3378,143.5544,57.61,42,26,12.57,AU,1684376028
246,kayangel,8.0823,134.7173,83.8,70,97,2.91,PW,1684376029
247,uliastay,47.7417,96.8444,39.83,53,100,10.27,MN,1684376029
248,yardimli,38.9206,48.2372,48.69,87,97,2.06,AZ,1684376029
249,shimoda,34.6667,138.95,76.53,70,68,10.16,JP,1684376029
250,ribeira grande,38.5167,-28.7,63.77,89,68,8.01,PT,1684376029
251,ulsteinvik,62.3432,5.8487,45.32,69,99,8.99,NO,1684376030
252,ndele,8.4109,20.6473,74.68,87,62,7.07,CF,1684376030
253,nemuro,43.3236,145.575,46.83,90,100,11.86,JP,1684376030
254,vernon,50.2581,-119.2691,82.62,31,27,1.23,CA,1684376030
255,birao,10.2849,22.7882,84.42,51,30,9.42,CF,1684376030
256,bandarbeyla,9.4942,50.8122,80.67,86,14,14.25,SO,1684376031
257,sumbawa besar,-8.5,117.4333,84.13,57,5,3.76,ID,1684376031
258,shalkar,47.8288,59.6258,55.0,80,94,8.79,KZ,1684376036
259,holualoa,19.6228,-155.9522,78.64,79,40,13.8,US,1684376036
260,bonthe,7.5264,-12.505,80.65,84,100,6.22,SL,1684376036
261,west island,-12.1568,96.8225,80.58,69,75,13.8,CC,1684376036
262,south hedland,-20.4089,118.5983,78.73,25,75,23.02,AU,1684376037
263,san juan del sur,11.2529,-85.8705,84.72,73,52,5.53,NI,1684376037
264,ola,59.5833,151.2833,41.14,84,100,8.21,RU,1684376037
265,coquimbo,-29.9533,-71.3436,58.73,72,0,2.3,CL,1684375893
266,zhezqazghan,47.7833,67.7667,48.78,81,40,4.47,KZ,1684376037
267,gadzhiyevo,69.2551,33.3362,39.65,97,100,14.09,RU,1684376038
268,chincholi,17.4667,77.4333,90.93,23,0,9.13,IN,1684376038
269,igarka,67.4667,86.5833,31.77,82,93,5.84,RU,1684376038
270,necochea,-38.5473,-58.7368,60.51,94,100,6.85,AR,1684376038
271,happy valley-goose bay,53.3168,-60.3315,32.32,84,95,2.64,CA,1684376031
272,gobabis,-22.45,18.9667,55.24,36,0,9.1,NA,1684376039
273,cabo san lucas,22.8909,-109.9124,83.5,71,75,20.71,MX,1684376039
274,mount pearl,47.5166,-52.7813,53.85,93,100,18.41,CA,1684375739
275,ko pha ngan,9.7578,100.0291,80.65,73,100,15.64,TH,1684376039
276,oranjemund,-28.55,16.4333,51.8,89,58,3.31,NA,1684376039
277,tutoia,-2.7619,-42.2744,78.73,87,100,10.16,BR,1684376039
278,tissemsilt,35.6072,1.8108,52.09,87,100,9.44,DZ,1684376040
279,ancud,-41.8697,-73.8203,48.13,86,4,5.17,CL,1684376040
280,moanda,-1.5575,13.2178,71.82,97,100,1.97,GA,1684376040
281,jamestown,42.097,-79.2353,40.64,52,0,0.0,US,1684376040
282,caleta de carquin,-11.0925,-77.6267,71.24,81,72,11.32,PE,1684376040
283,celestun,20.8667,-90.4,79.54,71,0,11.32,MX,1684376041
284,ciudad lazaro cardenas,17.9583,-102.2,81.09,74,0,5.39,MX,1684376041
285,ciudad bolivar,8.1222,-63.5497,88.25,51,99,12.95,VE,1684376041
286,itoman,26.1247,127.6694,77.77,96,75,29.93,JP,1684376041
287,dunedin,-45.8742,170.5036,52.81,93,100,5.99,NZ,1684375980
288,kununurra,-15.7667,128.7333,78.78,27,9,14.97,AU,1684376041
289,lubang,13.8584,120.124,84.42,74,98,4.83,PH,1684376042
290,bac lieu,9.285,105.7244,90.25,59,100,12.73,VN,1684376042
291,piti village,13.4626,144.6933,89.89,69,40,12.66,GU,1684376042
292,cartagena del chaira,1.3349,-74.8429,74.77,91,47,2.46,CO,1684376022
293,kuching,1.55,110.3333,91.13,71,20,3.44,MY,1684376042
294,tralee,52.2704,-9.7026,46.74,95,100,4.9,IE,1684376043
295,chamba,32.5667,76.1333,74.3,46,100,3.96,IN,1684376043
296,naze,28.3667,129.4833,69.08,95,100,24.61,JP,1684376043
297,rawson,-43.3002,-65.1023,53.56,56,98,9.95,AR,1684376043
298,fagersta,60.0042,15.7932,36.99,64,21,8.08,SE,1684376043
299,mlowo,-9.0,32.9833,57.54,94,10,2.62,TZ,1684376043
300,yorkton,51.2167,-102.4677,46.94,68,100,15.79,CA,1684376044
301,arroyo,41.6096,-4.7969,47.1,71,0,12.66,ES,1684376044
302,antsiranana,-12.2787,49.2917,76.78,83,89,5.48,MG,1684376044
303,belyy yar,53.6039,91.3903,42.69,70,75,6.71,RU,1684376044
304,flin flon,54.7682,-101.865,37.02,92,100,12.59,CA,1684376044
305,farafangana,-22.8167,47.8333,70.48,89,78,2.98,MG,1684376045
306,castillos,-34.1667,-53.8333,57.9,94,7,8.79,UY,1684376045
307,anadyr,64.75,177.4833,43.3,52,0,2.24,RU,1684376045
308,namtsy,62.7161,129.6658,47.89,53,94,12.26,RU,1684376045
309,ghadamis,30.1337,9.5007,74.44,14,0,13.09,LY,1684376045
310,fort st. john,56.2499,-120.8529,66.18,40,9,6.87,CA,1684376045
311,wellington,-41.2866,174.7756,59.05,76,100,13.8,NZ,1684375869
312,san carlos de bariloche,-41.1456,-71.3082,42.24,78,81,6.51,AR,1684376046
313,okhotsk,59.3833,143.3,33.76,100,100,9.04,RU,1684376046
314,porto seguro,-16.4497,-39.0647,75.72,73,0,5.75,BR,1684376046
315,monroe,43.1501,-77.6831,41.02,72,0,0.0,US,1684376046
316,batticaloa,7.7102,81.6924,81.95,80,54,2.42,LK,1684376047
317,barra de santo antonio,-9.4047,-35.5072,76.28,80,94,4.68,BR,1684376047
318,yandev,7.3667,9.05,74.28,86,100,5.32,NG,1684376047
319,old town,50.087,14.4202,47.75,76,0,5.75,CZ,1684376047
320,kiruna,67.8557,20.2251,32.92,86,100,12.66,SE,1684376047
321,yuli,9.6989,10.2744,79.09,74,100,6.82,NG,1684376048
322,revda,56.801,59.9303,47.52,51,2,7.58,RU,1684376048
323,rancho palos verdes,33.7445,-118.387,69.85,87,40,12.66,US,1684376048
324,ust'-ilimsk,58.0006,102.6619,36.36,99,100,4.14,RU,1684376048
325,quibala,-10.7337,14.98,59.13,84,16,2.39,AO,1684376048
326,vila franca do campo,37.7167,-25.4333,66.61,93,100,6.73,PT,1684376048
327,awjilah,29.1081,21.2869,67.39,32,0,7.09,LY,1684376049
328,island harbour,50.724,-1.2758,53.98,90,100,3.0,GB,1684376049
329,norderney,53.7,7.15,46.02,71,67,5.53,DE,1684376049
330,san juan,-31.5375,-68.5364,59.52,72,34,15.3,AR,1684376044
331,gwadar,25.1216,62.3254,83.37,86,0,3.98,PK,1684376049
332,bardai,11.65,7.2333,74.43,77,100,15.66,NG,1684376050
333,fuling,29.7022,107.3919,74.17,86,97,4.47,CN,1684376050
334,riberalta,-10.9833,-66.1,75.29,84,50,2.42,BO,1684376050
335,hadibu,12.65,54.0333,85.12,75,31,7.56,YE,1684376050
336,lubao,14.9167,120.55,90.59,60,98,2.06,PH,1684376050
337,zaozersk,69.4005,32.4476,38.89,95,100,18.01,RU,1684376050
338,oyem,1.5995,11.5793,68.95,98,100,1.99,GA,1684376051
339,dudinka,69.4058,86.1778,29.62,94,100,12.48,RU,1684376051
340,la passe,45.5549,-0.8967,50.99,86,5,10.78,FR,1684376051
341,corredor,8.64,-82.946,78.46,94,88,2.51,CR,1684376051
342,corbii mari,44.55,25.5,57.18,63,100,4.85,RO,1684376051
343,higuera de zaragoza,25.95,-109.2833,75.13,72,100,9.91,MX,1684376052
344,ocean shores,46.9737,-124.1563,64.4,90,0,12.66,US,1684376052
345,ust-nera,64.5667,143.2,41.97,84,99,4.65,RU,1684376052
346,melekeok village,7.4957,134.6367,82.96,78,75,8.05,PW,1684376052
347,ataq,14.5377,46.8319,72.48,65,3,8.37,YE,1684376052
348,viedma,-40.8135,-62.9967,57.78,69,100,7.0,AR,1684376053
349,muscat,23.6139,58.5922,95.02,53,0,5.7,OM,1684376053
350,nova sintra,14.8667,-24.7167,69.04,78,100,15.03,CV,1684376053
351,portland,45.5234,-122.6762,87.84,41,0,1.99,US,1684375526
352,dongfeng,42.6403,125.5118,64.08,44,0,5.39,CN,1684376053
353,arkalyk,50.2486,66.9114,56.91,76,100,9.19,KZ,1684376053
354,mana,5.6592,-53.7767,77.0,92,100,5.48,GF,1684376054
355,dorado,18.4588,-66.2677,81.97,90,52,1.99,PR,1684376054
356,sukumo,32.9333,132.7333,69.85,76,100,6.67,JP,1684376054
357,moyale,3.5167,39.0584,63.19,91,12,4.05,KE,1684376054
358,lakatoro,-16.0999,167.4164,83.01,78,38,1.61,VU,1684376055
359,tamanrasset,22.785,5.5228,73.31,10,0,4.61,DZ,1684376055
360,novodvinsk,64.4165,40.8122,57.81,73,100,4.85,RU,1684376055
361,lagos,6.5833,3.75,79.16,91,100,2.59,NG,1684375859
362,nova vicosa,-17.8919,-39.3719,74.41,73,73,9.98,BR,1684376044
363,la serena,-29.9078,-71.2542,58.51,72,0,2.3,CL,1684376055
364,wynyard,-41.0,145.7167,53.58,59,62,6.58,AU,1684376056
365,imbituba,-28.24,-48.6703,61.41,87,17,6.71,BR,1684376056
366,derbent,42.0678,48.2899,58.08,60,0,7.92,RU,1684376056
